name,sites
5750: Foundations of Robotics,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS5750/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5750', 'Fall 18': 'http://www.cs.cornell.edu/courses/CS4750/2018fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5750/2021fa/'}]"
5758: Autonomous Mobile Robots,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5758'}]
5780: Introduction to Machine Learning,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5780/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5780', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5780/2021fa/'}]"
5781: Machine Learning Engineering,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5781'}]
5783: Mathematical Foundations of Machine Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5783'}]
5785: Applied Machine Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5785'}]
5786: Machine Learning for Data Science,[{' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/5786'}]
5787: Deep Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5787'}]
5789: Introduction to Reinforcement Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5789'}]
5820: Introduction to Analysis of Algorithms,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5820'}]
